,features
796,"{
  ""features"": [
    {
      ""categoria"": ""Delicate/Pearl Jewelry"",
      ""material"": ""Silver, Silver plated, Silver with gemstone, Pearl, Opal, Turquoise, Costume jewelry"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Connoisseurs""
    }
  ]
}"
797,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor Sandals"",
      ""material"": ""Polyester"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""KEEN""
    }
  ]
}"
798,"{
  ""features"": [
    {
      ""categoria"": ""Cosmético"",
      ""material"": ""Leather"",
      ""Público-alvo"": ""Teen Girl"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HUGS IDEA""
    }
  ]
}"
799,"{
  ""features"": [
    {
      ""categoria"": ""Costume"",
      ""material"": ""Not specified"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Black, Pink"",
      ""marca"": ""Rubies""
    }
  ]
}"
800,"{
  ""features"": [
    {
      ""categoria"": ""Swimsuit Bikini"",
      ""material"": ""Soft, thin, lightweight, comfortable and skin-friendly fabrics"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Rainbow Striped"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
801,"{
  ""features"": [
    {
      ""categoria"": ""Bar Soap"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ECO amenities""
    }
  ]
}"
802,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Spalding""
    }
  ]
}"
803,"{
  ""features"": [
    {
      ""categoria"": ""Fantasia"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Dark Blue"",
      ""marca"": ""JerrisApparel""
    }
  ]
}"
804,"{
  ""features"": [
    {
      ""categoria"": ""Lockout Hasp"",
      ""material"": ""Coated Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Red"",
      ""marca"": ""Lockout Safety Supply""
    }
  ]
}"
805,"{
  ""features"": [
    {
      ""categoria"": ""Face Mask Holder"",
      ""material"": ""PP"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Pink, White, Blue, Snowflake Blue"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
806,"{
  ""features"": [
    {
      ""categoria"": ""Informática"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Razer""
    }
  ]
}"
807,"{
  ""features"": [
    {
      ""categoria"": ""Composition Book"",
      ""material"": ""Paper"",
      ""Público-alvo"": ""Grades K-2"",
      ""cor"": ""Marble"",
      ""marca"": ""BAZIC""
    }
  ]
}"
808,"{
  ""features"": [
    {
      ""categoria"": ""Bow Tie"",
      ""material"": ""Microfiber"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""American Flag USA Patriot"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
809,"{
  ""features"": [
    {
      ""categoria"": ""Case"",
      ""material"": ""Dual Layer Shock Bumper Cover"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Rose Gold"",
      ""marca"": ""YmhxcY""
    }
  ]
}"
810,"{
  ""features"": [
    {
      ""categoria"": ""Maquiagem"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Stunning Smokeys"",
      ""marca"": ""COVERGIRL""
    }
  ]
}"
811,"{
  ""features"": [
    {
      ""categoria"": ""Yoga Accessories"",
      ""material"": ""Poly Cotton"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Black"",
      ""marca"": ""Shantihi""
    }
  ]
}"
812,"{
  ""features"": [
    {
      ""categoria"": ""PET Sheet Panels"",
      ""material"": ""PET/Plexiglass"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
813,"{
  ""features"": [
    {
      ""categoria"": ""Jewelry"",
      ""material"": ""Recycled materials"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Rafaelian Gold, Rafaelian Silver"",
      ""marca"": ""Alex and Ani""
    }
  ]
}"
814,"{
  ""features"": [
    {
      ""categoria"": ""Carimbo"",
      ""material"": ""Borracha"",
      ""Público-alvo"": ""Profissional"",
      ""cor"": ""Vermelho"",
      ""marca"": ""ExcelMark""
    }
  ]
}"
815,"{
  ""features"": [
    {
      ""categoria"": ""Termômetro"",
      ""material"": ""Descartável"",
      ""Público-alvo"": ""Adultos, Crianças, Animais de estimação"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ANGELOYANG""
    }
  ]
}"
816,"{
  ""features"": [
    {
      ""categoria"": ""Laundry Detergent"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Persil""
    }
  ]
}"
817,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Nautica""
    }
  ]
}"
818,"{
  ""features"": [
    {
      ""categoria"": ""Fragrância"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Romântico"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Gucci""
    }
  ]
}"
819,"{
  ""features"": [
    {
      ""categoria"": ""Fondue Set"",
      ""material"": ""Cast Iron, Stainless Steel, Wood"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Off-Cream"",
      ""marca"": ""Twine""
    }
  ]
}"
820,"{
  ""features"": [
    {
      ""categoria"": ""Chá"",
      ""material"": ""Green tea leaves, Jasmine blossoms, Japanese matcha powder"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Verde"",
      ""marca"": ""Cha4TEA""
    }
  ]
}"
821,"{
  ""features"": [
    {
      ""categoria"": ""brinquedo"",
      ""material"": ""plástico"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""variadas"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
822,"{
  ""features"": [
    {
      ""categoria"": ""Decoração de mesa"",
      ""material"": ""Plástico"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Arco-íris"",
      ""marca"": ""Oojami""
    }
  ]
}"
823,"{
  ""features"": [
    {
      ""categoria"": ""Posture Corrector"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""WNIEYO""
    }
  ]
}"
824,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""The Wealth Choice""
    }
  ]
}"
825,"{
  ""features"": [
    {
      ""categoria"": ""Vestido"",
      ""material"": ""Sequins"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Rose Gold"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
826,"{
  ""features"": [
    {
      ""categoria"": ""Painting Tool Set"",
      ""material"": ""Rubber + Plastic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
827,"{
  ""features"": [
    {
      ""categoria"": ""Cooler"",
      ""material"": ""Rotomolded plastic"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""KONG Coolers""
    }
  ]
}"
828,"{
  ""features"": [
    {
      ""categoria"": ""Notice Board"",
      ""material"": ""Cork"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Burgundy"",
      ""marca"": ""VIZ-PRO""
    }
  ]
}"
829,"{
  ""features"": [
    {
      ""categoria"": ""Demolition Jack Hammer"",
      ""material"": ""Durable material"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Red"",
      ""marca"": ""XtremepowerUS""
    }
  ]
}"
830,"{
  ""features"": [
    {
      ""categoria"": ""Office Supplies Organizer"",
      ""material"": ""Metal Mesh"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Rose Gold"",
      ""marca"": ""Spacrea""
    }
  ]
}"
831,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de moda"",
      ""material"": ""Couro"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Marrom"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
832,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Christy Miller Collection""
    }
  ]
}"
833,"{
  ""features"": [
    {
      ""categoria"": ""Dietary Supplement Capsules"",
      ""material"": ""Non-GMO Apples"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Country Farms""
    }
  ]
}"
834,"{
  ""features"": [
    {
      ""categoria"": ""Massageador"",
      ""material"": ""Materiais mais leves e duráveis"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Branco"",
      ""marca"": ""Original Magic Wand""
    }
  ]
}"
835,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Soldiers of Barbarossa""
    }
  ]
}"
836,"{
  ""features"": [
    {
      ""categoria"": ""Storage Bins"",
      ""material"": ""Linenette Fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Gray"",
      ""marca"": ""SONGMICS""
    }
  ]
}"
837,"{
  ""features"": [
    {
      ""categoria"": ""Surf Rod"",
      ""material"": ""High density graphite"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black/Blue/Silver"",
      ""marca"": ""Okuma""
    }
  ]
}"
838,"{
  ""features"": [
    {
      ""categoria"": ""Partitura de música"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Journey""
    }
  ]
}"
839,"{
  ""features"": [
    {
      ""categoria"": ""Smart Lock Deadbolt"",
      ""material"": ""Satin Nickel"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Satin Nickel"",
      ""marca"": ""Kwikset""
    }
  ]
}"
840,"{
  ""features"": [
    {
      ""categoria"": ""Webcam"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HZQDLN""
    }
  ]
}"
841,"{
  ""features"": [
    {
      ""categoria"": ""Lençol"",
      ""material"": ""100% Algodão"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""L.Aqua"",
      ""marca"": ""Avonleigh Linens""
    }
  ]
}"
842,"{
  ""features"": [
    {
      ""categoria"": ""Capa de celular"",
      ""material"": ""Soft silicone e flores reais"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Rosa"",
      ""marca"": ""Shinymore""
    }
  ]
}"
843,"{
  ""features"": [
    {
      ""categoria"": ""T-shirt"",
      ""material"": ""Wicking material"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Columbia""
    }
  ]
}"
844,"{
  ""features"": [
    {
      ""categoria"": ""Hamburger Press"",
      ""material"": ""Aluminum Alloy"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Plain white"",
      ""marca"": ""OVOS""
    }
  ]
}"
845,"{
  ""features"": [
    {
      ""categoria"": ""Dog Treats"",
      ""material"": ""Chicken, Sweet Potato"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Jungle Calling""
    }
  ]
}"
846,"{
  ""features"": [
    {
      ""categoria"": ""Billiard Pool Cue Stick"",
      ""material"": ""Canadian Maple Wood, PU Rubber Grip, Multi-layer Leather Tip"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Tai ba cues""
    }
  ]
}"
847,"{
  ""features"": [
    {
      ""categoria"": ""Monitor"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Sceptre""
    }
  ]
}"
848,"{
  ""features"": [
    {
      ""categoria"": ""Folding Knife"",
      ""material"": ""VG-10 Stainless Steel Blade, FRN Handle"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Zome Green"",
      ""marca"": ""Spyderco""
    }
  ]
}"
849,"{
  ""features"": [
    {
      ""categoria"": ""Blacksmith's Forge"",
      ""material"": ""Top quality steel"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""SIMOND STORE""
    }
  ]
}"
850,"{
  ""features"": [
    {
      ""categoria"": ""Cash Box"",
      ""material"": ""Metal"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Jssmst""
    }
  ]
}"
851,"{
  ""features"": [
    {
      ""categoria"": ""Livro"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
852,"{
  ""features"": [
    {
      ""categoria"": ""Pet treats"",
      ""material"": ""Salmon"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Carolina Prime Pet""
    }
  ]
}"
853,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Handplane Essentials""
    }
  ]
}"
854,"{
  ""features"": [
    {
      ""categoria"": ""Acessório"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""KOOSHOO""
    }
  ]
}"
855,"{
  ""features"": [
    {
      ""categoria"": ""Accessório para estabilizador de câmera"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ULANZI""
    }
  ]
}"
856,"{
  ""features"": [
    {
      ""categoria"": ""Butter Spreader"",
      ""material"": ""Aluminum"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Nemco""
    }
  ]
}"
857,"{
  ""features"": [
    {
      ""categoria"": ""Watch"",
      ""material"": ""Stainless Steel"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""Timex""
    }
  ]
}"
858,"{
  ""features"": [
    {
      ""categoria"": ""Jóias"",
      ""material"": ""18K White Gold Plated"",
      ""Público-alvo"": ""Mulheres"",
      ""cor"": ""Crystal, White Gold"",
      ""marca"": ""MDFUN""
    }
  ]
}"
859,"{
  ""features"": [
    {
      ""categoria"": ""Acessório Automotivo"",
      ""material"": ""Microfibra e Seda de Gelo"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""KAFEEK""
    }
  ]
}"
860,"{
  ""features"": [
    {
      ""categoria"": ""Livro de arte para crianças"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Crenstone""
    }
  ]
}"
861,"{
  ""features"": [
    {
      ""categoria"": ""Yu-Gi-Oh trading and collectible card game (TCG/CCG)"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Yu-Gi-Oh""
    }
  ]
}"
862,"{
  ""features"": [
    {
      ""categoria"": ""meias"",
      ""material"": ""algodão"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""colorido"",
      ""marca"": ""Fruit of the Loom""
    }
  ]
}"
863,"{
  ""features"": [
    {
      ""categoria"": ""Costume"",
      ""material"": ""100% Polyester"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Leg Avenue""
    }
  ]
}"
864,"{
  ""features"": [
    {
      ""categoria"": ""Iluminação"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Bayco""
    }
  ]
}"
865,"{
  ""features"": [
    {
      ""categoria"": ""DIY Drawing Templates"",
      ""material"": ""PET"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
866,"{
  ""features"": [
    {
      ""categoria"": ""Cabelo"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Profissional"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Helen Seward""
    }
  ]
}"
867,"{
  ""features"": [
    {
      ""categoria"": ""Wireless Charge Pad"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""mophie""
    }
  ]
}"
868,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Tan"",
      ""marca"": ""Shawnee Trading Post""
    }
  ]
}"
869,"{
  ""features"": [
    {
      ""categoria"": ""Chain"",
      ""material"": ""Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Gold/Steel"",
      ""marca"": ""RK Racing Chain""
    }
  ]
}"
870,"{
  ""features"": [
    {
      ""categoria"": ""cozinha"",
      ""material"": ""silicone"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""EVERIE""
    }
  ]
}"
871,"{
  ""features"": [
    {
      ""categoria"": ""Oil Catch Can"",
      ""material"": ""Aluminum"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""ESPEEDER""
    }
  ]
}"
872,"{
  ""features"": [
    {
      ""categoria"": ""Underwear"",
      ""material"": ""Cotton"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Jockey""
    }
  ]
}"
873,"{
  ""features"": [
    {
      ""categoria"": ""Saia"",
      ""material"": ""Denim"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""chouyatou""
    }
  ]
}"
874,"{
  ""features"": [
    {
      ""categoria"": ""Ballet Dance Gymnastics Leotard Dress"",
      ""material"": ""40% Polyester, 50% Chiffon, 10% Mesh"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Agoky""
    }
  ]
}"
875,"{
  ""features"": [
    {
      ""categoria"": ""Hoodie"",
      ""material"": ""Fleece Polyester and Wool Blend Body / PU Leather Sleeves"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Metallic"",
      ""marca"": ""Ultra Game""
    }
  ]
}"
876,"{
  ""features"": [
    {
      ""categoria"": ""Acessório eletrônico"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Samsung""
    }
  ]
}"
877,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor Patio Metal Wrought Iron Dining Chair Set"",
      ""material"": ""Steel Frame"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Blue"",
      ""marca"": ""LOKATSE HOME""
    }
  ]
}"
878,"{
  ""features"": [
    {
      ""categoria"": ""Bateria de câmera"",
      ""material"": ""Li-ion"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Bonacell""
    }
  ]
}"
879,"{
  ""features"": [
    {
      ""categoria"": ""Leggings"",
      ""material"": ""Stretchy fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Diversas cores"",
      ""marca"": ""Timemory""
    }
  ]
}"
880,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Silicone"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ZDUWD""
    }
  ]
}"
881,"{
  ""features"": [
    {
      ""categoria"": ""Body Piercing Jewelry"",
      ""material"": ""Stainless Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Silver Tone, Rose Gold Tone, Blue"",
      ""marca"": ""ORAZIO""
    }
  ]
}"
882,"{
  ""features"": [
    {
      ""categoria"": ""Artes e Crafts"",
      ""material"": ""Acrylic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Red"",
      ""marca"": ""DirectGlow""
    }
  ]
}"
883,"{
  ""features"": [
    {
      ""categoria"": ""Pillow Cover"",
      ""material"": ""Faux Leather"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Brown, Cognac, Black, Ivory, Navy"",
      ""marca"": ""Kdays""
    }
  ]
}"
884,"{
  ""features"": [
    {
      ""categoria"": ""Sandálias"",
      ""material"": ""Borracha e Neoprene"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Multicolorido"",
      ""marca"": ""Rainbow Sandals""
    }
  ]
}"
885,"{
  ""features"": [
    {
      ""categoria"": ""Jogos de Tabuleiro"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""TOYFUL""
    }
  ]
}"
886,"{
  ""features"": [
    {
      ""categoria"": ""Mesa de vidro"",
      ""material"": ""Vidro temperado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Transparente"",
      ""marca"": ""Troy Systems LLC""
    }
  ]
}"
887,"{
  ""features"": [
    {
      ""categoria"": ""Evening Gown"",
      ""material"": ""Chiffon"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""6 cores disponíveis"",
      ""marca"": ""Ever-Pretty""
    }
  ]
}"
888,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""copper"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Eder""
    }
  ]
}"
889,"{
  ""features"": [
    {
      ""categoria"": ""Sofá"",
      ""material"": ""Madeira maciça e madeira compensada"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Charcoal"",
      ""marca"": ""Coaster Home Furnishings""
    }
  ]
}"
890,"{
  ""features"": [
    {
      ""categoria"": ""Face Moisturizer"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Eau Thermale Avene""
    }
  ]
}"
891,"{
  ""features"": [
    {
      ""categoria"": ""Backpack"",
      ""material"": ""High-quality materials"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Black"",
      ""marca"": ""Meetbelify""
    }
  ]
}"
892,"{
  ""features"": [
    {
      ""categoria"": ""Boat Fenders"",
      ""material"": ""Heavy-duty, marine grade vinyl"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Metallic Black"",
      ""marca"": ""Taylor Made""
    }
  ]
}"
893,"{
  ""features"": [
    {
      ""categoria"": ""Gerador"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""General Electric""
    }
  ]
}"
894,"{
  ""features"": [
    {
      ""categoria"": ""Ferramentas"",
      ""material"": ""Plástico resistente"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Azul"",
      ""marca"": ""Boltsize-It""
    }
  ]
}"
895,"{
  ""features"": [
    {
      ""categoria"": ""Indoor Area Rug"",
      ""material"": ""Polypropylene with Jute Backing"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Chocolate"",
      ""marca"": ""Superior""
    }
  ]
}"
896,"{
  ""features"": [
    {
      ""categoria"": ""Fantasia de Cheerleader"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Rubie's""
    }
  ]
}"
897,"{
  ""features"": [
    {
      ""categoria"": ""AC Power Cord Cable"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HP""
    }
  ]
}"
898,"{
  ""features"": [
    {
      ""categoria"": ""Keyboard"",
      ""material"": ""Stainless Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Arteck""
    }
  ]
}"
899,"{
  ""features"": [
    {
      ""categoria"": ""Decalque de parede"",
      ""material"": ""Vinil autoadesivo de alta qualidade"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
900,"{
  ""features"": [
    {
      ""categoria"": ""Acessório eletrônico"",
      ""material"": ""Rubber/plastic/TPU"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Chalk Pink"",
      ""marca"": ""Yootech""
    }
  ]
}"
901,"{
  ""features"": [
    {
      ""categoria"": ""tote"",
      ""material"": ""antique pull up leather"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Cognac, Dark Brown, Beige, Carbon"",
      ""marca"": ""Frye""
    }
  ]
}"
902,"{
  ""features"": [
    {
      ""categoria"": ""Uniforme"",
      ""material"": ""Interlock"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Amazon Essentials""
    }
  ]
}"
903,"{
  ""features"": [
    {
      ""categoria"": ""Throw Blanket"",
      ""material"": ""Flannel Fleece"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Cream White"",
      ""marca"": ""Kingole""
    }
  ]
}"
904,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""algodão"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""azul"",
      ""marca"": ""Nike""
    }
  ]
}"
905,"{
  ""features"": [
    {
      ""categoria"": ""Cama"",
      ""material"": ""75% polyester 25% cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Pink"",
      ""marca"": ""QSY Home""
    }
  ]
}"
906,"{
  ""features"": [
    {
      ""categoria"": ""Acessório para banho"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Amazon Basics""
    }
  ]
}"
907,"{
  ""features"": [
    {
      ""categoria"": ""Tablecloth"",
      ""material"": ""Polyester"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Burgundy"",
      ""marca"": ""Biscaynebay""
    }
  ]
}"
908,"{
  ""features"": [
    {
      ""categoria"": ""Tote Bag"",
      ""material"": ""Cotton canvas"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Watercolor Sunflower"",
      ""marca"": ""Naanle""
    }
  ]
}"
909,"{
  ""features"": [
    {
      ""categoria"": ""coverlet set"",
      ""material"": ""100% Cotton"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Navy"",
      ""marca"": ""Stone & Beam""
    }
  ]
}"
910,"{
  ""features"": [
    {
      ""categoria"": ""Corset"",
      ""material"": ""Faux Leather(polyester+Spandex)"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""KIWI RATA""
    }
  ]
}"
911,"{
  ""features"": [
    {
      ""categoria"": ""Movie Poster"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
